id	name	city	zipcode	street	houseNumber	telephone	fax	email	website	longitude	latitude	.
9092161	Amtsgericht Ahrensburg	Ahrensburg	22926	Königstraße	11	+49 4102 519-0	+49 4102 519-199	verwaltung@ag-ahrensburg.landsh.de	www.amtsgericht-ahrensburg.schleswig-holstein.de	10.242111609508823	53.67403748239277	.
9092178	Amtsgericht Bad Segeberg	Bad Segeberg	23795	Am Kalkberg	18	+49 4551 900-0	+49 4551 900-190	verwaltung@ag-segeberg.landsh.de	www.amtsgericht-segeberg.schleswig-holstein.de	10.320799519836193	53.93378242678705	.
9092195	Amtsgericht Eckernförde	Eckernförde	24340	Reeperbahn	45 - 47	+49 4351 715-3	+49 4351 715-480	verwaltung@ag-eckernfoerde.landsh.de	http://www.amtsgericht-eckernfoerde.schleswig-holstein.de	9.83591158425882	54.469017505583864	.
9092214	Amtsgericht Elmshorn	Elmshorn	25335	Bismarckstraße	8	+49 4121 232-0	+49 4121 232-444	verwaltung@ag-elmshorn.landsh.de	www.amtsgericht-elmshorn.schleswig-holstein.de	9.652867337092461	53.756941744312044	.
9092231	Amtsgericht Eutin	Eutin	23701	Jungfernstieg	3	+49 4521 7056	+49 4521 705700	verwaltung@ag-eutin.landsh.de	www.amtsgericht-eutin.schleswig-holstein.de	10.61898482223652	54.13478056166869	.
9092263	Amtsgericht Flensburg	Flensburg	24937	Südergraben	22	+49 461 89-0	+49 461 89-434	verwaltung@ag-flensburg.landsh.de	www.amtsgericht-flensburg.schleswig-holstein.de	9.433699699413792	54.784032755951166	.
9092280	Amtsgericht Husum	Husum	24813	Theodor-Storm-Straße	5	+49 4841 693-0	+49 4841 693-100	verwaltung@ag-husum.landsh.de	www.amtsgericht-husum.schleswig-holstein.de	9.053774141812413	54.480914514302285	.
9092299	Amtsgericht Itzehoe	Itzehoe	25524	Bergstraße	5 - 7	+49 4821 66-0	+49 4821 66-2371	verwaltung@ag-itzehoe.landsh.de	www.amtsgericht-itzehoe.schleswig-holstein.de	9.522251448773	53.92032780486682	.
9092337	Amtsgericht Kiel	Kiel	24114	Deliusstraße	22	+49 431 604-0	+49 431 604-2850	verwaltung@ag-kiel.landsh.de	www.ag-kiel.schleswig-holstein.de	10.12055344218182	54.318642516312735	.
9092354	Amtsgericht Lübeck	Lübeck, Hansestadt	23568	Am Burgfeld	7	+49 451 371-0	+49 451 371-1523	verwaltung@ag-luebeck.landsh.de	www.ag-luebeck.schleswig-holstein.de	10.696687488261345	53.87809991419475	.
9092371	Amtsgericht Meldorf	Meldorf	25704	Domstraße	1	+49 4832 87-0	+49 4832 87-1111	verwaltung@ag-meldorf.landsh.de	www.amtsgericht-meldorf.schleswig-holstein.de	9.072344190306474	54.09103357492313	.
9092390	Amtsgericht Neumünster	Neumünster	24534	Boostedter Straße	26	+49 4321 940-0	+49 4321 940-299	verwaltung@ag-neumuenster.landsh.de	www.amtsgericht-neumuenster.schleswig-holstein.de	9.989850769319192	54.06525693837063	.
9092422	Amtsgericht Niebüll	Niebüll	25899	Sylter Bogen	1 a	+49 4661 609-0	+49 4661 609-232	verwaltung@ag-niebuell.landsh.de	www.amtsgericht-niebuell.schleswig-holstein.de	8.832306500590676	54.792570146032936	.
9092441	Amtsgericht Norderstedt	Norderstedt	22846	Rathausallee	80	+49 40 52606-0	+49 40 52606-222	verwaltung@ag-norderstedt.landsh.de	www.amtsgericht-norderstedt.schleswig-holstein.de	9.990985546276846	53.70873456653785	.
9092458	Amtsgericht Oldenburg	Oldenburg in Holstein	23758	Göhler Straße	90	+49 4361 624-0	+49 4361 80576	verwaltung@ag-oldenburg.landsh.de	www.amtsgericht-oldenburg.schleswig-holstein.de	10.906670451927326	54.29183125118065	.
9092477	Amtsgericht Pinneberg	Pinneberg	25421	Bahnhofstraße	17	+49 4101 503-0	+49 4101 503-262	verwaltung@ag-pinneberg.landsh.de	http://www.schleswig-holstein.de/DE/Justiz/LGITZEHOE/Landgerichtsbezirk/Amtsgerichte/Pinneberg/_documents/pinneberg.html	9.798866286755095	53.65775137487671	.
9092496	Amtsgericht Plön	Plön	24306	Lütjenburger Straße	48	+49 4522 745-0	+49 4522 745-198	verwaltung@ag-ploen.landsh.de	www.amtsgericht-ploen.schleswig-holstein.de	10.432381184514718	54.16712313471571	.
9092579	Amtsgericht Ratzeburg	Ratzeburg	23909	Herrenstraße	11	+49 4541 8633-0	+49 4541 8633-80	verwaltung@ag-ratzeburg.landsh.de	www.amtsgericht-ratzeburg.schleswig-holstein.de	10.771215435470545	53.698870620409906	.
9092649	Amtsgericht Reinbek	Reinbek	21465	Parkallee	6	+49 40 72759-0	+49 40 72759-115	verwaltung@ag-reinbek.landsh.de	www.amtsgericht-reinbek.schleswig-holstein.de	10.25497762091482	53.50938720498405	.
9092749	Amtsgericht Rendsburg	Rendsburg	24768	Königstraße	17	+49 4331 139-0	+49 4331 139-200	verwaltung@ag-rendsburg.landsh.de	www.amtsgericht-rendsburg.schleswig-holstein.de	9.664763961626736	54.296948455535535	.
9092766	Amtsgericht Schleswig	Schleswig	24837	Lollfuß	78	+49 4621 815-0	+49 4621 815-311	verwaltung@ag-schleswig.landsh.de	www.amtsgericht-schleswig.schleswig-holstein.de	9.549681801765626	54.51392910375874	.
9092785	Amtsgericht Schwarzenbek	Schwarzenbek	21493	Möllner Straße	20	+49 4151 802-0	+49 4151 802-299	verwaltung@ag-schwarzenbek.landsh.de	www.amtsgericht-schwarzenbek.schleswig-holstein.de	10.482954754769963	53.507438792504175	.
9093384	Arbeitsgericht Elmshorn	Elmshorn	25337	Kurt-Wagener-Straße	9	+49 4121 48660	+49 4121 84728	post.arbgelm@arbgsh.landsh.de	www.landesarbeitsgericht.schleswig-holstein.de	9.665794655551819	53.75926582445009	.
