,year,month,pagecount_all_views,CountDesktop,CountMobile,ViewsMobile+App,ViewsDesktop,ViewsMobile
0,2007,12,,2998331524.0,,,,
1,2008,1,,4930902570.0,,,,
2,2008,2,,4818393763.0,,,,
3,2008,3,,4955405809.0,,,,
4,2008,4,,5159162183.0,,,,
5,2008,5,,5584691092.0,,,,
6,2008,6,,5712104279.0,,,,
7,2008,7,,5306302874.0,,,,
8,2008,8,,5140155519.0,,,,
9,2008,9,,5479533823.0,,,,
10,2008,10,,5679440782.0,,,,
11,2008,11,,5415832071.0,,,,
12,2008,12,,5211708451.0,,,,
13,2009,1,,5802681551.0,,,,
14,2009,2,,5547320860.0,,,,
15,2009,3,,6295159057.0,,,,
16,2009,4,,5988817321.0,,,,
17,2009,5,,6267516733.0,,,,
18,2009,6,,5818924182.0,,,,
19,2009,7,,5801646978.0,,,,
20,2009,8,,5790850384.0,,,,
21,2009,9,,4057515768.0,,,,
22,2009,10,,6016107147.0,,,,
23,2009,11,,5768486910.0,,,,
24,2009,12,,5426505977.0,,,,
25,2010,1,,5703465285.0,,,,
26,2010,2,,5762451418.0,,,,
27,2010,3,,6661347946.0,,,,
28,2010,4,,6618552152.0,,,,
29,2010,5,,6410578775.0,,,,
30,2010,6,,4898035014.0,,,,
31,2010,7,,5296177638.0,,,,
32,2010,8,,7381346660.0,,,,
33,2010,9,,7546488744.0,,,,
34,2010,10,,10172844562.0,,,,
35,2010,11,,6948678354.0,,,,
36,2010,12,,7001952100.0,,,,
37,2011,1,,7568511227.0,,,,
38,2011,2,,6906248849.0,,,,
39,2011,3,,7326545928.0,,,,
40,2011,4,,6835492088.0,,,,
41,2011,5,,7009799378.0,,,,
42,2011,6,,6536675534.0,,,,
43,2011,7,,6571730164.0,,,,
44,2011,8,,6514500361.0,,,,
45,2011,9,,5837738935.0,,,,
46,2011,10,,6974424665.0,,,,
47,2011,11,,7507641641.0,,,,
48,2011,12,,6396357939.0,,,,
49,2012,1,,7808477339.0,,,,
50,2012,2,,7530127141.0,,,,
51,2012,3,,7358543625.0,,,,
52,2012,4,,7220029422.0,,,,
53,2012,5,,7784479302.0,,,,
54,2012,6,,7524265988.0,,,,
55,2012,7,,7819376527.0,,,,
56,2012,8,,7885641059.0,,,,
57,2012,9,,7913689733.0,,,,
58,2012,10,,8379960050.0,,,,
59,2012,11,,8219987195.0,,,,
60,2012,12,,8033826900.0,,,,
61,2013,1,,9126210673.0,,,,
62,2013,2,,8100597857.0,,,,
63,2013,3,,8701419671.0,,,,
64,2013,4,,8049296729.0,,,,
65,2013,5,,8089099883.0,,,,
66,2013,6,,7759959725.0,,,,
67,2013,7,,8237301982.0,,,,
68,2013,8,,9306122925.0,,,,
69,2013,9,,9985326806.0,,,,
70,2013,10,,10775158269.0,,,,
71,2013,11,,10414877805.0,,,,
72,2013,12,,7102459747.0,,,,
73,2014,1,,7026531269.0,,,,
74,2014,2,,6718243109.0,,,,
75,2014,3,,7464128273.0,,,,
76,2014,4,,7216245221.0,,,,
77,2014,5,,7543277646.0,,,,
78,2014,6,,6577352648.0,,,,
79,2014,7,,6761059566.0,,,,
80,2014,8,,6687313714.0,,,,
81,2014,9,,7564600999.0,,,,
82,2014,10,9669079813.0,6577533128.0,3091546685.0,,,
83,2014,11,9181027274.0,6153537606.0,3027489668.0,,,
84,2014,12,9109282269.0,5830332248.0,3278950021.0,,,
85,2015,1,9589069146.0,6103767055.0,3485302091.0,,,
86,2015,2,8694244918.0,5602710439.0,3091534479.0,,,
87,2015,3,9677435301.0,6346602713.0,3330832588.0,,,
88,2015,4,9421035574.0,6198945657.0,3222089917.0,,,
89,2015,5,9657871297.0,6323801814.0,3334069483.0,,,
90,2015,6,8203576103.0,5165413640.0,3038162463.0,,,
91,2015,7,8483698717.0,5229226022.0,3254472695.0,3288755294.0,4376666686.0,3179131148.0
92,2015,8,8304022031.0,5035534449.0,3268487582.0,3302333038.0,4332482183.0,3192663889.0
93,2015,9,8582061182.0,5409631355.0,3172429827.0,3170203333.0,4485491704.0,3073981649.0
94,2015,10,8781786976.0,5535704471.0,3246082505.0,3268499132.0,4477532755.0,3173975355.0
