project,access,granularity,timestamp,pagecount_desktop_views,pagecount_mobile_views,agent,pageview_desktop_views,pageview_mobile_views,year,month
en.wikipedia,desktop-site,monthly,2008010100,4930902570.0,,,,,2008,01
en.wikipedia,desktop-site,monthly,2008020100,4818393763.0,,,,,2008,02
en.wikipedia,desktop-site,monthly,2008030100,4955405809.0,,,,,2008,03
en.wikipedia,desktop-site,monthly,2008040100,5159162183.0,,,,,2008,04
en.wikipedia,desktop-site,monthly,2008050100,5584691092.0,,,,,2008,05
en.wikipedia,desktop-site,monthly,2008060100,5712104279.0,,,,,2008,06
en.wikipedia,desktop-site,monthly,2008070100,5306302874.0,,,,,2008,07
en.wikipedia,desktop-site,monthly,2008080100,5140155519.0,,,,,2008,08
en.wikipedia,desktop-site,monthly,2008090100,5479533823.0,,,,,2008,09
en.wikipedia,desktop-site,monthly,2008100100,5679440782.0,,,,,2008,10
en.wikipedia,desktop-site,monthly,2008110100,5415832071.0,,,,,2008,11
en.wikipedia,desktop-site,monthly,2008120100,5211708451.0,,,,,2008,12
en.wikipedia,desktop-site,monthly,2009010100,5802681551.0,,,,,2009,01
en.wikipedia,desktop-site,monthly,2009020100,5547320860.0,,,,,2009,02
en.wikipedia,desktop-site,monthly,2009030100,6295159057.0,,,,,2009,03
en.wikipedia,desktop-site,monthly,2009040100,5988817321.0,,,,,2009,04
en.wikipedia,desktop-site,monthly,2009050100,6267516733.0,,,,,2009,05
en.wikipedia,desktop-site,monthly,2009060100,5818924182.0,,,,,2009,06
en.wikipedia,desktop-site,monthly,2009070100,5801646978.0,,,,,2009,07
en.wikipedia,desktop-site,monthly,2009080100,5790850384.0,,,,,2009,08
en.wikipedia,desktop-site,monthly,2009090100,4057515768.0,,,,,2009,09
en.wikipedia,desktop-site,monthly,2009100100,6016107147.0,,,,,2009,10
en.wikipedia,desktop-site,monthly,2009110100,5768486910.0,,,,,2009,11
en.wikipedia,desktop-site,monthly,2009120100,5426505977.0,,,,,2009,12
en.wikipedia,desktop-site,monthly,2010010100,5703465285.0,,,,,2010,01
en.wikipedia,desktop-site,monthly,2010020100,5762451418.0,,,,,2010,02
en.wikipedia,desktop-site,monthly,2010030100,6661347946.0,,,,,2010,03
en.wikipedia,desktop-site,monthly,2010040100,6618552152.0,,,,,2010,04
en.wikipedia,desktop-site,monthly,2010050100,6410578775.0,,,,,2010,05
en.wikipedia,desktop-site,monthly,2010060100,4898035014.0,,,,,2010,06
en.wikipedia,desktop-site,monthly,2010070100,5296177638.0,,,,,2010,07
en.wikipedia,desktop-site,monthly,2010080100,7381346660.0,,,,,2010,08
en.wikipedia,desktop-site,monthly,2010090100,7546488744.0,,,,,2010,09
en.wikipedia,desktop-site,monthly,2010100100,10172844562.0,,,,,2010,10
en.wikipedia,desktop-site,monthly,2010110100,6948678354.0,,,,,2010,11
en.wikipedia,desktop-site,monthly,2010120100,7001952100.0,,,,,2010,12
en.wikipedia,desktop-site,monthly,2011010100,7568511227.0,,,,,2011,01
en.wikipedia,desktop-site,monthly,2011020100,6906248849.0,,,,,2011,02
en.wikipedia,desktop-site,monthly,2011030100,7326545928.0,,,,,2011,03
en.wikipedia,desktop-site,monthly,2011040100,6835492088.0,,,,,2011,04
en.wikipedia,desktop-site,monthly,2011050100,7009799378.0,,,,,2011,05
en.wikipedia,desktop-site,monthly,2011060100,6536675534.0,,,,,2011,06
en.wikipedia,desktop-site,monthly,2011070100,6571730164.0,,,,,2011,07
en.wikipedia,desktop-site,monthly,2011080100,6514500361.0,,,,,2011,08
en.wikipedia,desktop-site,monthly,2011090100,5837738935.0,,,,,2011,09
en.wikipedia,desktop-site,monthly,2011100100,6974424665.0,,,,,2011,10
en.wikipedia,desktop-site,monthly,2011110100,7507641641.0,,,,,2011,11
en.wikipedia,desktop-site,monthly,2011120100,6396357939.0,,,,,2011,12
en.wikipedia,desktop-site,monthly,2012010100,7808477339.0,,,,,2012,01
en.wikipedia,desktop-site,monthly,2012020100,7530127141.0,,,,,2012,02
en.wikipedia,desktop-site,monthly,2012030100,7358543625.0,,,,,2012,03
en.wikipedia,desktop-site,monthly,2012040100,7220029422.0,,,,,2012,04
en.wikipedia,desktop-site,monthly,2012050100,7784479302.0,,,,,2012,05
en.wikipedia,desktop-site,monthly,2012060100,7524265988.0,,,,,2012,06
en.wikipedia,desktop-site,monthly,2012070100,7819376527.0,,,,,2012,07
en.wikipedia,desktop-site,monthly,2012080100,7885641059.0,,,,,2012,08
en.wikipedia,desktop-site,monthly,2012090100,7913689733.0,,,,,2012,09
en.wikipedia,desktop-site,monthly,2012100100,8379960050.0,,,,,2012,10
en.wikipedia,desktop-site,monthly,2012110100,8219987195.0,,,,,2012,11
en.wikipedia,desktop-site,monthly,2012120100,8033826900.0,,,,,2012,12
en.wikipedia,desktop-site,monthly,2013010100,9126210673.0,,,,,2013,01
en.wikipedia,desktop-site,monthly,2013020100,8100597857.0,,,,,2013,02
en.wikipedia,desktop-site,monthly,2013030100,8701419671.0,,,,,2013,03
en.wikipedia,desktop-site,monthly,2013040100,8049296729.0,,,,,2013,04
en.wikipedia,desktop-site,monthly,2013050100,8089099883.0,,,,,2013,05
en.wikipedia,desktop-site,monthly,2013060100,7759959725.0,,,,,2013,06
en.wikipedia,desktop-site,monthly,2013070100,8237301982.0,,,,,2013,07
en.wikipedia,desktop-site,monthly,2013080100,9306122925.0,,,,,2013,08
en.wikipedia,desktop-site,monthly,2013090100,9985326806.0,,,,,2013,09
en.wikipedia,desktop-site,monthly,2013100100,10775158269.0,,,,,2013,10
en.wikipedia,desktop-site,monthly,2013110100,10414877805.0,,,,,2013,11
en.wikipedia,desktop-site,monthly,2013120100,7102459747.0,,,,,2013,12
en.wikipedia,desktop-site,monthly,2014010100,7026531269.0,,,,,2014,01
en.wikipedia,desktop-site,monthly,2014020100,6718243109.0,,,,,2014,02
en.wikipedia,desktop-site,monthly,2014030100,7464128273.0,,,,,2014,03
en.wikipedia,desktop-site,monthly,2014040100,7216245221.0,,,,,2014,04
en.wikipedia,desktop-site,monthly,2014050100,7543277646.0,,,,,2014,05
en.wikipedia,desktop-site,monthly,2014060100,6577352648.0,,,,,2014,06
en.wikipedia,desktop-site,monthly,2014070100,6761059566.0,,,,,2014,07
en.wikipedia,desktop-site,monthly,2014080100,6687313714.0,,,,,2014,08
en.wikipedia,desktop-site,monthly,2014090100,7564600999.0,,,,,2014,09
en.wikipedia,desktop-site,monthly,2014100100,6577533128.0,,,,,2014,10
