,page,country,rev_id,quality
0,Template:ZambiaProvincialMinisters,Zambia,235107991,RevisionNotFound: Could not find revision ({revision}:235107991)
126,List of politicians in Poland,Poland,516633096,RevisionNotFound: Could not find revision ({revision}:516633096)
222,Tingtingru,Vanuatu,550682925,RevisionNotFound: Could not find revision ({revision}:550682925)
330,Daud Arsala,Afghanistan,627547024,RevisionNotFound: Could not find revision ({revision}:627547024)
539,Bharat Saud,Nepal,671484594,RevisionNotFound: Could not find revision ({revision}:671484594)
643,Robert Sych,Poland,684023803,RevisionNotFound: Could not find revision ({revision}:684023803)
644,Marek Krzysztof Jeleniewski,Poland,684023859,RevisionNotFound: Could not find revision ({revision}:684023859)
830,Narayani Datt Chataut,Nepal,698572327,RevisionNotFound: Could not find revision ({revision}:698572327)
1084,Gomez das Mariñas,Spain,703773782,RevisionNotFound: Could not find revision ({revision}:703773782)
1406,Valerio De Los Benidos,Cuba,706204833,RevisionNotFound: Could not find revision ({revision}:706204833)
1535,Kamlesh Arya,Fiji,706810694,RevisionNotFound: Could not find revision ({revision}:706810694)
1980,Khaled Aghbariyya,Israel,709508670,RevisionNotFound: Could not find revision ({revision}:709508670)
2125,Vladimir Shamakhov,Russia,710311600,RevisionNotFound: Could not find revision ({revision}:710311600)
2324,Panu Laturi,Finland,711288191,RevisionNotFound: Could not find revision ({revision}:711288191)
2358,Michel Ximenes,France,711513274,RevisionNotFound: Could not find revision ({revision}:711513274)
2481,I Gede Sumantara Ady Pratama,Indonesia,712411818,RevisionNotFound: Could not find revision ({revision}:712411818)
2587,Łukasz Kowalski,Poland,712872338,RevisionNotFound: Could not find revision ({revision}:712872338)
2588,Blanka Olszewska,Poland,712872421,RevisionNotFound: Could not find revision ({revision}:712872421)
2589,Janusz Jerzy Drozdalski,Poland,712872473,RevisionNotFound: Could not find revision ({revision}:712872473)
2590,Piotr Michał Trzaska,Poland,712872531,RevisionNotFound: Could not find revision ({revision}:712872531)
2591,Anna Teresa Piórkowska,Poland,712873183,RevisionNotFound: Could not find revision ({revision}:712873183)
2592,Edward Ignacy Hartwich,Poland,712873308,RevisionNotFound: Could not find revision ({revision}:712873308)
2593,Lech Andrzej Zagłoba-Zygler,Poland,712873386,RevisionNotFound: Could not find revision ({revision}:712873386)
2599,Elżbieta Teresa Rusielewicz,Poland,712878000,RevisionNotFound: Could not find revision ({revision}:712878000)
2600,Adam Wojciech Fórmaniak,Poland,712878267,RevisionNotFound: Could not find revision ({revision}:712878267)
