,page,country,rev_id,quality,population,region
0,Template:ZambiaProvincialMinisters,Zambia,235107991,RevisionNotFound: Could not find revision ({revision}:235107991),18.384,AFRICA
1,Gladys Lundwe,Zambia,757566606,Stub,18.384,AFRICA
2,Mwamba Luchembe,Zambia,764848643,Stub,18.384,AFRICA
3,Thandiwe Banda,Zambia,768166426,Start,18.384,AFRICA
4,Sylvester Chisembele,Zambia,776082926,C,18.384,AFRICA
5,Victoria Kalima,Zambia,776530837,Start,18.384,AFRICA
6,Margaret Mwanakatwe,Zambia,779747587,Start,18.384,AFRICA
7,Nkandu Luo,Zambia,779747961,Start,18.384,AFRICA
8,Susan Nakazwe,Zambia,779748181,Start,18.384,AFRICA
9,Catherine Namugala,Zambia,779748285,Start,18.384,AFRICA
10,Edith Nawakwi,Zambia,779748522,Start,18.384,AFRICA
11,Joyce Nonde-Simukoko,Zambia,779748628,Start,18.384,AFRICA
12,Gladys Nyirongo,Zambia,779748837,C,18.384,AFRICA
13,Vera Tembo,Zambia,779748931,Start,18.384,AFRICA
14,Ompie Nkumbula-Lieventhal,Zambia,790011468,Stub,18.384,AFRICA
15,Besnat Jere,Zambia,791225634,Stub,18.384,AFRICA
16,Esther Lungu,Zambia,792296625,C,18.384,AFRICA
17,Inonge Wina,Zambia,794006130,Start,18.384,AFRICA
18,Maureen Mwanawasa,Zambia,795820299,Start,18.384,AFRICA
19,First Lady of Zambia,Zambia,796467991,Start,18.384,AFRICA
20,Jean Kapata,Zambia,797469872,Start,18.384,AFRICA
21,Peter Sinkamba,Zambia,799512628,Stub,18.384,AFRICA
22,Gwendoline Konie,Zambia,803304465,Start,18.384,AFRICA
23,Kenneth Kaunda,Zambia,805875783,C,18.384,AFRICA
24,Inonge Mbikusita-Lewanika,Zambia,805993958,Start,18.384,AFRICA
25,Yobert K. Shamapande,Zambia,806345311,C,18.384,AFRICA
26,Bir I of Kanem,Chad,355319463,Stub,16.877,AFRICA
27,Abdullah II of Kanem,Chad,498683267,Stub,16.877,AFRICA
28,Salmama II of Kanem,Chad,565745353,Stub,16.877,AFRICA
29,Kuri I of Kanem,Chad,565745365,Stub,16.877,AFRICA
30,Mohammed I of Kanem,Chad,565745375,Stub,16.877,AFRICA
31,Kuri II of Kanem,Chad,669719757,Stub,16.877,AFRICA
32,Bir II of Kanem,Chad,670893206,Stub,16.877,AFRICA
33,Mahamat Hissene,Chad,693055898,Stub,16.877,AFRICA
34,Othman I,Chad,705432607,Stub,16.877,AFRICA
35,Alphonse Kotiga,Chad,707593108,Stub,16.877,AFRICA
36,Oueddei Kichidemi,Chad,708346649,Start,16.877,AFRICA
37,Dunama I,Chad,710675092,Stub,16.877,AFRICA
38,Ahmad (Kanem-Bornu king),Chad,711388267,Stub,16.877,AFRICA
39,Djibrine Kerallah,Chad,712971263,Stub,16.877,AFRICA
40,Maurice Ngangtar,Chad,712971315,Stub,16.877,AFRICA
41,Idriss Miskine,Chad,712971738,Stub,16.877,AFRICA
42,Laoukein Kourayo Médard,Chad,716886170,Stub,16.877,AFRICA
43,Nadji Madou,Chad,716886788,Stub,16.877,AFRICA
44,Noël Milarew Odingar,Chad,716891799,Start,16.877,AFRICA
45,Yaya Dillo Djérou,Chad,717733209,Stub,16.877,AFRICA
46,Acheikh Ibn-Oumar,Chad,719821590,Start,16.877,AFRICA
47,Quatre Sou Quatre,Chad,720066754,Stub,16.877,AFRICA
48,Ali Gazi,Chad,722563340,Stub,16.877,AFRICA
49,Mahamat Djarma Khatir,Chad,725132042,Stub,16.877,AFRICA
50,Dunama IX Lefiami,Chad,731749611,Stub,16.877,AFRICA
51,Dawud of Kanem,Chad,736550266,Stub,16.877,AFRICA
52,Ahmed Koulamallah,Chad,738855197,Start,16.877,AFRICA
53,Abbo Nassour,Chad,741369486,C,16.877,AFRICA
54,Abdel Kader Baba-Laddé,Chad,742213176,Stub,16.877,AFRICA
55,Hummay,Chad,747271475,Stub,16.877,AFRICA
56,Ngarlejy Yorongar,Chad,751304544,C,16.877,AFRICA
57,Saleh Kezabo,Chad,751380073,Stub,16.877,AFRICA
58,Bourkou Louise Kabo,Chad,757072468,Start,16.877,AFRICA
59,Brahim Koulamallah,Chad,757802238,Stub,16.877,AFRICA
60,Saadie Goukouni Weddeye,Chad,757842614,Start,16.877,AFRICA
61,Mahamoud Adam Béchir,Chad,762579466,Start,16.877,AFRICA
62,Kalthouma Nguembang,Chad,762816132,RevisionNotFound: Could not find revision ({revision}:762816132),16.877,AFRICA
63,Djidingar Dono Ngardoum,Chad,764133533,Stub,16.877,AFRICA
64,Template:ChadPMs,Chad,768123377,Stub,16.877,AFRICA
65,Template:ChadPres,Chad,770535091,Stub,16.877,AFRICA
66,Youssouf Saleh Abbas,Chad,771052289,C,16.877,AFRICA
67,Koibla Djimasta,Chad,774223245,Start,16.877,AFRICA
68,Nassour Guelendouksia Ouaido,Chad,774223248,C,16.877,AFRICA
69,Joseph Brahim Seid,Chad,777478442,Stub,16.877,AFRICA
70,Joseph Yodoyman,Chad,777550078,Start,16.877,AFRICA
71,Antoine Bangui,Chad,782638002,Start,16.877,AFRICA
72,Ibrahim IV of Bornu,Chad,785614014,Stub,16.877,AFRICA
73,Hadjé Halimé,Chad,786449636,C,16.877,AFRICA
74,Youssouf Togoïmi,Chad,787390241,Start,16.877,AFRICA
75,Adoum Younousmi,Chad,787719236,Start,16.877,AFRICA
76,François Tombalbaye,Chad,787738541,C,16.877,AFRICA
77,Ahmat Hassaballah Soubiane,Chad,787910771,Stub,16.877,AFRICA
78,Ahmad Allam-Mi,Chad,787921293,Start,16.877,AFRICA
79,Laotegguelnodji Koumtog,Chad,788009613,Stub,16.877,AFRICA
80,Mahamat Ali Adoum,Chad,788014671,Start,16.877,AFRICA
81,Mahamat Saleh Annadif,Chad,788658822,Start,16.877,AFRICA
82,Mohamed Bechir-Sow,Chad,788827248,Stub,16.877,AFRICA
83,Gontchomé Sahoulba,Chad,788828388,Start,16.877,AFRICA
84,Gabriel Lisette,Chad,788828519,Start,16.877,AFRICA
