,rev_id,article_quality,page,country
0,355319463,Stub,Bir I of Kanem,Chad
1,393276188,Stub,Information Minister of the Palestinian National Authority,Palestinian Territory
2,393822005,Stub,Yos Por,Cambodia
3,395521877,Stub,Julius Gregr,Czech Republic
4,395526568,Stub,Edvard Gregr,Czech Republic
5,401577829,Stub,Robert Douglas Cook,Canada
6,442937236,Stub,List of Grand Viziers of Egypt,Egypt
7,448555418,Stub,Sehba Musharraf,Pakistan
8,470173494,Start,Butler-Belmont family,United States
9,477962574,Stub,List of Canadian incumbents by year,Canada
10,492060822,Stub,Sheikh Sadiq Ali Ansari,India
11,492964343,Stub,Cayetano Pacana,Philippines
12,498683267,Stub,Abdullah II of Kanem,Chad
13,502721672,C,Heard-Hawes family,United States
14,521986779,Stub,List of German politicians,Germany
15,532253442,Stub,Raspicious Dzanjalimodzi,Malawi
16,543225630,Stub,Manuel Antonio Blas Sáenz,Nicaragua
17,545936100,Stub,Béla Vörösmarty,Hungary
18,546364151,Start,Presidents of the General Council of French Guiana,French Guiana
19,549300521,Stub,Finn Sjue,Norway
20,550953646,Stub,Russell family (American political family),United States
21,559553872,Stub,Maximo Suniel,Philippines
22,559788982,Stub,Mihály Mikes (soldier),Hungary
23,560758943,Stub,The Man with the Chocolate Robe,Iran
24,561744402,Stub,List of Malta Labour Party leaders,Malta
25,564873005,Stub,Marquis of Amboage,Spain
26,565745353,Stub,Salmama II of Kanem,Chad
27,565745365,Stub,Kuri I of Kanem,Chad
28,565745375,Stub,Mohammed I of Kanem,Chad
29,566504165,Stub,Timoteo Menéndez,Salvadoran
30,573710096,B,"List of members of the parliament of Malta, 2008–13",Malta
31,574571582,Stub,Gervas Clay,Rhodesian
32,576988466,Stub,Samuel Nii Ayi Mankattah,Ghana
33,585894477,Stub,Hemed Khamis,Tanzania
34,592289232,Stub,Mavua Mudima,"Congo, Dem. Rep. of"
35,595693452,Start,Council of Ministers of Togo,Togo
36,596181202,Start,Finance Minister of the Palestinian National Authority,Palestinian Territory
37,598819900,Start,Abdullah Al Nuaimi (politician),United Arab Emirates
38,601122766,Stub,Zhang Zhenzhou,China
39,601127343,Start,Feng Liao,China
40,614786300,Start,Wu Shihuo,China
41,623004627,Stub,Kennedy Kiliku,Kenya
42,623334577,Stub,Kamu de Almeida,Angola
43,624468970,Stub,Hiša Marije Pomočnice,Slovenia
44,625509885,Start,Đuro Šurmin,Croatia
45,626606789,Stub,Suishō,Japan
46,627001041,Stub,Nikolai Sulima,Russia
47,627051151,Stub,Khayelihle Mathaba,South Africa
48,627432937,Stub,Vilho Turunen,Finland
49,628261896,Stub,Vihtori Aromaa,Finland
50,628268705,Stub,Jonathan Wartiovaara,Finland
51,628270736,Stub,Arvi Turkka,Finland
52,628312759,Stub,Juho Heikkinen,Finland
53,628379479,Stub,Emanuel Aromaa,Finland
54,628563978,Stub,Jukka Lankila,Finland
