,page,country,rev_id,quality,population,region
22,Template:Honduras-politician-stub,Hondura,394587547,Stub,,
23,Julius Gregr,Czech Republic,395521877,Stub,,
24,Edvard Gregr,Czech Republic,395526568,Stub,,
46,Template:Honduras-mayor-stub,Hondura,443469862,Stub,,
67,Template:CzechRepublic-mayor-stub,Czech Republic,444371643,Stub,,
85,Template:ElSalvador-politician-stub,Salvadoran,445403015,Stub,,
146,Template:NevisPremiers,Saint Kitts and Nevis,535173663,Stub,,
166,Template:PalauVPs,Palauan,536462949,Stub,,
185,Template:CzechRepublic-diplomat-stub,Czech Republic,540993708,Stub,,
224,Template:IvoryCoast-mayor-stub,Ivorian,551712542,Stub,,
234,Template:Presidents of Ivory Coast,Ivorian,560326236,Start,,
264,Template:StVGPMs,Saint Vincent and the Grenadines,566478181,Stub,,
265,Timoteo Menéndez,Salvadoran,566504165,Stub,,
272,Gervas Clay,Rhodesian,574571582,Stub,,
281,Template:Sultans of Oman,Omani,582616049,Stub,,
290,Mavua Mudima,"Congo, Dem. Rep. of",592289232,Stub,,
306,Template:NiuePMs,Niuean,612095385,Stub,,
323,Template:ElSalvador-mayor-stub,Salvadoran,623594207,Stub,,
366,"List of members of the parliament of East Timor, 2001–07",East Timorese,638566016,Start,,
384,"List of members of the Løgting, 1974–78",Faroese,643932216,Start,,
385,"List of members of the Løgting, 1978–80",Faroese,643932220,Start,,
386,"List of members of the Løgting, 1980–84",Faroese,643932225,Start,,
387,"List of members of the Løgting, 1984–88",Faroese,643932226,Start,,
388,"List of members of the Løgting, 1990–94",Faroese,643932239,Start,,
389,"List of members of the Løgting, 1994–98",Faroese,643932242,Start,,
398,James Bisset (mayor),Cape Colony,647367482,Start,,
415,Augustus Joseph Tancred,Cape Colony,651250302,Stub,,
420,Johan Conrad Silberbauer,Cape Colony,653467222,Stub,,
441,List of provincial governors of the Democratic Republic of the Congo,"Congo, Dem. Rep. of",663088604,Stub,,
443,"List of members of the National Assembly (South Korea), 1950–54",South Korean,663348266,Stub,,
448,Template:ZimbabwePMs,Rhodesian,663892878,Stub,,
457,James Cotterell Hoole,Cape Colony,666596918,Stub,,
495,Template:IvoryCoast-politician-stub,Ivorian,669010261,Stub,,
499,Harry Davies (politician),Rhodesian,669387487,Start,,
516,Patrick Goold,Cape Colony,670210734,Start,,
541,Toluono Feti,Samoan,671515606,Stub,,
556,Miroslav Poche,Czech Republic,672862914,Stub,,
557,Vojtěch Mynář,Czech Republic,673008587,Stub,,
559,Template:StKNevisPMs,Saint Kitts and Nevis,673743772,Stub,,
563,Speaker of the Legislative Assembly of Montserrat,Montserratian,674919905,Stub,,
578,Andries Botha,Cape Colony,676828191,B,,
602,Joaquín Escolán y Balibrera,Salvadoran,679294949,Stub,,
614,Charles William Hutton,Cape Colony,680205631,C,,
616,Chairman of the Island Council (Pitcairn),Pitcairn Islands,680532939,Stub,,
632,William Fairbridge,Rhodesian,682576258,Start,,
675,Earl Asim Martin,Saint Kitts and Nevis,687127320,Stub,,
706,List of mayors of Radoviš,Macedonia,690088836,Stub,,
742,John Blades Currey,Cape Colony,693624260,Stub,,
755,Zaur Avidzba,Abkhazia,694519009,Start,,
857,"List of members of the Løgting, 1998–2002",Faroese,698865505,Start,,
929,José Abel,East Timorese,699698855,Stub,,
947,Tórbjørn Poulsen,Faroese,700400143,Stub,,
972,Demmus Hentze,Faroese,701771698,Start,,
1003,Young Vivian,Niuean,703037968,Start,,
1022,Noel Ahipeaud,Ivorian,703133769,Stub,,
1053,Simon Jenko,Carniolan,703436823,Start,,
1057,Park In-won,South Korean,703478926,Stub,,
1076,Paul Southwell,Saint Kitts and Nevis,703666654,Start,,
1085,Petrus Compton,Saint Lucian,703819839,Stub,,
1109,Jan Malypetr,Czech Republic,704424304,Stub,,
1145,Thomas François Burgers,South African Republic,704636517,C,,
1155,Céleo Arias,Hondura,704789339,Stub,,
1174,James Ah Koy,Samoan,704919844,B,,
1178,Zaur Ardzinba,Abkhazia,704938340,Start,,
1192,Emanuel Moravec,Czech Republic,705080136,Start,,
1210,Va'aelua Eti Alesana,Samoan,705218371,Start,,
1239,Juan Francisco de Molina,Hondura,705346284,Stub,,
1240,Felipe Neri Medina,Hondura,705346304,Stub,,
1241,Mariano Garrigó,Hondura,705346378,Stub,,
1242,José María Bustillo (Honduran),Hondura,705346396,Stub,,
1243,Francisco Gómez (acting president),Hondura,705346462,Stub,,
1244,Salvador Aguirre (Honduras),Hondura,705346724,Stub,,
1245,Francisco Bográn,Hondura,705346741,Stub,,
1267,Fermín Palacios,Salvadoran,705353491,Stub,,
1268,Eugenio Aguilar,Salvadoran,705353565,Stub,,
1269,Tomás Medina,Salvadoran,705353584,Stub,,
1270,Ramón Rodríguez (Salvadoran politician),Salvadoran,705353647,Stub,,
1271,Vicente Gómez,Salvadoran,705353678,Stub,,
1272,Lorenzo Zepeda,Salvadoran,705353843,Stub,,
1273,José María Peralta,Salvadoran,705353896,Stub,,
1274,Francisco Menéndez,Salvadoran,705353975,Stub,,
1275,Pedro José Escalón,Salvadoran,705354095,Stub,,
1276,Fernando Figueroa,Salvadoran,705354112,Stub,,
1277,Carlos Meléndez (politician),Salvadoran,705354212,Stub,,
1294,Fabio Castillo Figueroa,Salvadoran,705385310,Stub,,
1296,Eugène Diomi Ndongala Nzomambu,"Congo, Dem. Rep. of",705390654,Stub,,
1344,Théophile Mbemba Fundu,"Congo, Dem. Rep. of",705707214,Stub,,
1346,Ntumba Luaba,"Congo, Dem. Rep. of",705723187,Stub,,
1347,Myra Ndjoku Manianga,"Congo, Dem. Rep. of",705723441,Stub,,
1408,Misa Telefoni Retzlaff,Samoan,706207837,Start,,
1519,Ricardo Montenegro,Salvadoran,706769596,Stub,,
1520,Vicente Flores,Incan,706771757,Stub,,
1533,Luagalau Levaula Kamu,Samoan,706804758,Stub,,
1543,Leafa Vitale,Samoan,706837234,Stub,,
1610,Khozh-Ahmed Noukhayev,Chechen,707217873,C,,
1652,Rafael Campo,Salvadoran,707399758,Start,,
1653,Miguel Santín del Castillo,Salvadoran,707400213,Stub,,
1654,Osmín Aguirre y Salinas,Salvadoran,707403482,Stub,,
