,rev_id,article_quality,page,country,population,region
0,355319463,Stub,Bir I of Kanem,Chad,16.877,AFRICA
1,498683267,Stub,Abdullah II of Kanem,Chad,16.877,AFRICA
2,565745353,Stub,Salmama II of Kanem,Chad,16.877,AFRICA
3,565745365,Stub,Kuri I of Kanem,Chad,16.877,AFRICA
4,565745375,Stub,Mohammed I of Kanem,Chad,16.877,AFRICA
5,669719757,Stub,Kuri II of Kanem,Chad,16.877,AFRICA
6,670893206,Stub,Bir II of Kanem,Chad,16.877,AFRICA
7,693055898,Stub,Mahamat Hissene,Chad,16.877,AFRICA
8,705432607,Stub,Othman I,Chad,16.877,AFRICA
9,707593108,Stub,Alphonse Kotiga,Chad,16.877,AFRICA
10,708346649,Start,Oueddei Kichidemi,Chad,16.877,AFRICA
11,710675092,Stub,Dunama I,Chad,16.877,AFRICA
12,711388267,Stub,Ahmad (Kanem-Bornu king),Chad,16.877,AFRICA
13,712971263,Stub,Djibrine Kerallah,Chad,16.877,AFRICA
14,712971315,Stub,Maurice Ngangtar,Chad,16.877,AFRICA
15,712971738,Stub,Idriss Miskine,Chad,16.877,AFRICA
16,716886170,Stub,Laoukein Kourayo Médard,Chad,16.877,AFRICA
17,716886788,Stub,Nadji Madou,Chad,16.877,AFRICA
18,716891799,Start,Noël Milarew Odingar,Chad,16.877,AFRICA
19,717733209,Stub,Yaya Dillo Djérou,Chad,16.877,AFRICA
20,719821590,Start,Acheikh Ibn-Oumar,Chad,16.877,AFRICA
21,720066754,Stub,Quatre Sou Quatre,Chad,16.877,AFRICA
22,722563340,Stub,Ali Gazi,Chad,16.877,AFRICA
23,725132042,Stub,Mahamat Djarma Khatir,Chad,16.877,AFRICA
24,731749611,Stub,Dunama IX Lefiami,Chad,16.877,AFRICA
25,736550266,Stub,Dawud of Kanem,Chad,16.877,AFRICA
26,738855197,Start,Ahmed Koulamallah,Chad,16.877,AFRICA
27,741369486,C,Abbo Nassour,Chad,16.877,AFRICA
28,742213176,Stub,Abdel Kader Baba-Laddé,Chad,16.877,AFRICA
29,747271475,Stub,Hummay,Chad,16.877,AFRICA
30,751304544,C,Ngarlejy Yorongar,Chad,16.877,AFRICA
31,751380073,Stub,Saleh Kezabo,Chad,16.877,AFRICA
32,757072468,Start,Bourkou Louise Kabo,Chad,16.877,AFRICA
33,757802238,Stub,Brahim Koulamallah,Chad,16.877,AFRICA
34,757842614,Start,Saadie Goukouni Weddeye,Chad,16.877,AFRICA
35,762579466,Start,Mahamoud Adam Béchir,Chad,16.877,AFRICA
36,764133533,Stub,Djidingar Dono Ngardoum,Chad,16.877,AFRICA
37,771052289,C,Youssouf Saleh Abbas,Chad,16.877,AFRICA
38,774223245,Start,Koibla Djimasta,Chad,16.877,AFRICA
